stage,approach,data_format,accuracy,f1,training_time_s,trainable_params,total_params,device
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
zero_shot,,,,,,,,
freeze_layers,freeze_80,fp32,0.7622549019607843,0.8432956381260097,21.73464274406433,45692930.0,109483778.0,cuda
freeze_layers,freeze_80,fp16,0.7745098039215687,0.8496732026143791,24.47629714012146,45692930.0,109483778.0,cuda
freeze_layers,freeze_50,fp32,0.8014705882352942,0.8610634648370498,24.71332693099976,66956546.0,109483778.0,cuda
freeze_layers,freeze_50,fp16,0.8235294117647058,0.8787878787878788,27.994956016540527,66956546.0,109483778.0,cuda
freeze_layers,freeze_20,fp32,0.8651960784313726,0.9040139616055848,28.4212327003479,95308034.0,109483778.0,cuda
freeze_layers,freeze_20,fp16,0.8725490196078431,0.9097222222222222,31.535674571990967,95308034.0,109483778.0,cuda
freeze_layers,freeze_0,fp32,0.8504901960784313,0.8931698774080561,30.412740230560303,109483778.0,109483778.0,cuda
freeze_layers,freeze_0,fp16,0.8235294117647058,0.8767123287671232,33.89560127258301,109483778.0,109483778.0,cuda
adapters,lora,fp32,0.6838235294117647,0.8122270742358079,43.350550413131714,887042.0,125534212.0,cuda
adapters,lora,fp16,0.8823529411764706,0.9154929577464788,54.437554121017456,887042.0,125534212.0,cuda
adapters,prompt,fp32,0.6911764705882353,0.8157894736842105,29.532241821289062,599810.0,125246980.0,cuda
adapters,prompt,fp16,0.696078431372549,0.8176470588235294,34.18132662773132,599810.0,125246980.0,cuda
adapters,prefix,fp32,0.6838235294117647,0.8122270742358079,31.439372777938843,15364610.0,140011780.0,cuda
adapters,prefix,fp16,0.6838235294117647,0.8122270742358079,40.28283929824829,15364610.0,140011780.0,cuda
datasets,SQuAD,fp32,1.0,1.0,1834.298716783524,124647170.0,124647170.0,cuda
datasets,RTE,fp32,0.5270758122743683,0.0,51.67089366912842,124647170.0,124647170.0,cuda
datasets,CoLA,fp32,0.8293384467881112,0.8833551769331586,176.87803673744202,124647170.0,124647170.0,cuda
quant_lora,original,fp32,,,,,,
quant_lora,quantized_int8,int8,,,,,,
quant_lora,lora,fp32,,,226.81774950027463,739586.0,67694596.0,cuda
